Tweet Text,Creator,Time Posted,Likes,Tweet Link
"Expected to Surpass $1K Soon

https://t.co/SgB2mRPMUb

$AAL $NAKD $DYNT $INO $GNUS $UAVS $JAKK  $SHLO $NIO $HMHC $MDLY $JILL  $GRIL $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO https://t.co/eSsyplHcWe",markoni2460,2024-12-28T00:13:17.000Z,0,https://twitter.com/markoni2460/status/1872797936515735970
"After selling puts consistently for a year I examine everything I do by probability 

 $aapl $amd $amzn $avgo $blk $btc $clsk $cost $ddm $dia $spx $eth $ibit $gld $goog $jpm $meta $msft $mstr $nvda $oxy $qqq $slv $sol $spy $tsla $tqqq $sqqq $jup $tlt",basedcigjak02,2024-12-28T00:13:11.000Z,0,https://twitter.com/basedcigjak02/status/1872797911681294396
"Alerts before spikes and right as big news drops

Free discord chatroom:https://t.co/ct4kHsMznt

$AMZN $AAPL $SPY  $AAPL $MSFT $BYND $TSLA $MARK $RIOT $NOK https://t.co/bBNg1rwQZq",Dharamvir114,2024-12-28T00:12:46.000Z,0,https://twitter.com/Dharamvir114/status/1872797806353891715
"RT @PropFirm_Deals: 🚨TheFundedTrader Sale!🚨

- Up to 30% OFF!
- 85% Profit Split!
- All account sizes!

Start trading with TFT!👇
https://t.…",Rahul04980546,2024-12-28T00:12:43.000Z,0,https://twitter.com/Rahul04980546/status/1872797793879990388
"🚨TheFundedTrader Sale!🚨

- Up to 30% OFF!
- 85% Profit Split!
- All account sizes!

Start trading with TFT!👇
https://t.co/kpaR2G20o6

$NQ $ES $SPY $QQQ $AAPL $CL $NG $MSFT $NVDA #NQ_F #ES_F #NQ #ES #Futures #FundedTrader #PropFirm https://t.co/Jq1qZycd2T",PropFirm_Deals,2024-12-28T00:12:20.000Z,2,https://twitter.com/PropFirm_Deals/status/1872797696555114533
"Alerts 💰
Update. 📈📉
Watchlist,💹💸
Discord link below  👇👇

➡️https://t.co/OJPgiWLH93
 
$GOOG $RENT $GME $TTWO $AMAT $WMT $SPY $GNS $HOLO $NVDA $CYN $BSFC $MULN $TSLA $NFLX $QQQ $META $AAPL https://t.co/m1cMGVXF4H",Rahul04980546,2024-12-28T00:12:20.000Z,0,https://twitter.com/Rahul04980546/status/1872797695343247576
"Check out our subscriber alerts in our DISCORD. 

https://t.co/ct4kHsMznt

$BABA $JFK $CEMI $SPY $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $TSLA $AAPL https://t.co/XhEUXae9Vo",Dharamvir114,2024-12-28T00:12:01.000Z,0,https://twitter.com/Dharamvir114/status/1872797615655665986
"Breaking Youtube News

♻️ $HCMC Heading 2 Court w/a Stronger Case Sufficient 2 Disavow $PM ♻️@InsidePMI Self Reports

""Less Combustion = No Combustion""🔥🔥🔥🔥🔥
https://t.co/zAdyjiVcyD

$LCID $AMZN $MSFT $AAPL $SPY $TSLA $FB $GOOG $BABA $SQ $NFLX $NVDA $BTC $SHOP $AMC $GME $HCWC https://t.co/iy50Tjr39V",VincenteClub,2024-12-28T00:11:42.000Z,1,https://twitter.com/VincenteClub/status/1872797539218632766
"Most profitable Xtraders trading community join our community 🤠🍋

Discord Link Here ➡️https://t.co/OJPgiWLH93
 
$GME $TTWO $AMAT $WMT $CBRL $JDZG $VKTX $FFIE $AMC $GWAV $CYN $TSLA $NFLX $QQQ $BSFC $MULN $META $AAPL $CRKN $SPY $GNS https://t.co/E6OyQpEYZJ",Rahul04980546,2024-12-28T00:11:39.000Z,0,https://twitter.com/Rahul04980546/status/1872797526547677212
"Discord-https://t.co/ct4kHsMznt
 better, more executive trading chat room👌👌👌👌❤❤❤❤ 
$TSLA Rock on 🤑🤑🤑🤑

$UAVS $CETX $DGLY $TSLA $SPY $AMAZ $AAPL $ER
$FB $BB $FL $DE $ZM https://t.co/R1R2T0sOkB",Dharamvir114,2024-12-28T00:11:20.000Z,0,https://twitter.com/Dharamvir114/status/1872797446948192439
